,주소,위도,경도,확인
0,강원도 춘천시 동면 만천로143번길 84 ,37.87820444,127.7642084,ok
1,강원도 춘천시 백령로 215 일성트루엘더퍼스트 관리동,37.87712147,127.7458565,ok
2,강원도 춘천시 안마산로 133 이편한세상 춘천한숲시티 관리동,37.8560092,127.7298309,ok
3,"강원도 원주시 혁신로 91 509동 101호(반곡동,힐데스하임)",37.32372622,127.9832492,ok
4,"강원도 원주시 세계로 2 (반곡동, 한국광해관리공단)",37.32380735,127.9885633,ok
5,강원도 원주시  입춘로 130 ,37.32092688,127.980625,ok
6,강원도 원주시 문막읍 왕건로 114 만도사원아파트 106동109~110호,37.33018707,127.8306693,ok
7,"강원도 원주시 일산로 20 (일산동,연세대학교 원주의과대학기독병원)",37.34911654,127.9467258,ok
8,강원도 원주시 개운로 30 개운1단지휴먼시아아파트 관리동,37.338608,127.9541535,ok
9,"강원도 원주시 번재길 32 110동 (행구동, 효성백년가약아파트)",37.34541455,127.974538,ok
10,"강원도 강릉시 강변로 58 (회산동, 강릉회산LH천년나무2단지)",37.74356135,128.876684,ok
11,강원도 강릉시 죽헌길 7 ,37.76573318,128.8702174,ok
12,강원도 강릉시 회산로383번길 37 힐스테이트강릉어린이집,37.7416025,128.8652207,ok
13,강원도 강릉시 선수촌로 20 ,37.75295096,128.8679768,ok
14,강원도 강릉시 경강로 2448 102동 1층,37.77294516,128.9274821,ok
15,"강원도 태백시 청솔길 41 111-B동 203호(황지동, 청솔아파트상가)",37.16424038,128.9831395,ok
16,강원도 속초시 청대로 22-6 ,38.18427138,128.5981789,ok
17,강원도 속초시 온정로 23 도담어린이집,38.18601283,128.5908179,ok
18,강원도 삼척시 정상안길 97 금강프라자 307호,37.44588387,129.1770534,ok
19,강원도 삼척시 마달길 215 세영리첼아파트 103동 1층,37.45085027,129.1555096,ok
20,강원도 삼척시 원덕읍 삼척로 446-12 ,37.17681188,129.3358012,ok
21,강원도 평창군 대화면 평창대로 1447 ,37.54463322,128.4423047,ok
22,강원도 인제군 기린면 내린천로 3898 ,37.945443,128.3178085,ok
23,경기도 고양시 일산동구 한류월드로 281 EBS 디지털 통합사옥(장항동),37.66172442,126.7546265,ok
24,경기도 고양시 일산동구 무궁화로 260 ,37.67372415,126.7891733,ok
25,경기도 고양시 일산서구 탄현로 136 에듀포레푸르지오 108동 102호,37.70361227,126.7663969,ok
