,정보공시 학교코드,학교명,1학년 학생수,학교도로명 주소,위도,경도
0,S000003511,서울교육대학교부설초등학교,95,서울특별시 서초구 서초중앙로 96,37.4907391344,127.0154235196
1,S000003563,서울대학교사범대학부설초등학교,98,서울특별시 종로구 대학로 64,37.577017,127.003091
2,S010000738,서울개일초등학교,157,서울특별시 강남구 개포로 401,37.4862137836,127.057741991
3,S010000741,서울구룡초등학교,121,서울특별시 강남구 개포로 263,37.4811925344,127.0517549252
4,S010000742,서울논현초등학교,52,서울특별시 강남구 강남대로120길 33,37.5081699,127.0260317
5,S010000743,서울대곡초등학교,116,서울특별시 강남구 남부순환로 3022,37.4947119051,127.0650264667
6,S010000744,서울대도초등학교,260,서울특별시 강남구 선릉로 209,37.4927679777,127.0533460132
7,S010000745,서울대모초등학교,135,서울특별시 강남구 광평로20길 27,37.481536,127.086562
8,S010000746,서울대왕초등학교,96,서울특별시 강남구 헌릉로618길 8,37.4646213557,127.1055894642
9,S010000747,서울대진초등학교,42,서울특별시 강남구 개포로109길 74,37.4970105766,127.0780784792
10,S010000748,서울대청초등학교,23,서울특별시 강남구 양재대로55길 28,37.4931330378,127.0877856874
11,S010000749,서울대치초등학교,161,서울특별시 강남구 양재천로 363,37.4913113474,127.06196593
12,S010000750,서울대현초등학교,79,서울특별시 강남구 역삼로98길 16,37.5032941,127.0633241
13,S010000751,서울도곡초등학교,115,서울특별시 강남구 선릉로64길 33,37.4995070056,127.0544455072
14,S010000752,서울도성초등학교,229,서울특별시 강남구 역삼로 313,37.501462823,127.0488737626
15,S010000753,서울반원초등학교,193,서울특별시 서초구 잠원로3길 28,37.5102082,127.0039023
16,S010000754,서울반포초등학교,114,서울특별시 서초구 신반포로 55-4,37.502916,126.991055
17,S010000755,서울방배초등학교,121,서울특별시 서초구 방배중앙로13길 26,37.4867641943,126.9871371947
18,S010000756,서울방일초등학교,153,서울특별시 서초구 방배로18길 52,37.485434,126.998303216
19,S010000757,서울방현초등학교,33,서울특별시 서초구 효령로4길 58,37.4763718,126.9901785
20,S010000758,서울봉은초등학교,78,서울특별시 강남구 학동로 610,37.5200827812,127.0609309129
21,S010000759,서울삼릉초등학교,91,서울특별시 강남구 봉은사로63길 22,37.5132595599,127.0469495418
22,S010000760,서울서래초등학교,209,서울특별시 서초구 방배로 260,37.4962335,126.9893029
23,S010000761,서울서원초등학교,225,서울특별시 서초구 고무래로 63,37.4962335,127.0153843
24,S010000762,서울서이초등학교,214,서울특별시 서초구 서운로 35,37.4913032,127.0259307
25,S010000763,서울서일초등학교,92,서울특별시 서초구 남부순환로339길 38,37.4852959747,127.0221612207
26,S010000764,서울서초초등학교,157,서울특별시 서초구 서운로 178,37.499311,127.024064
27,S010000765,서울수서초등학교,21,서울특별시 강남구 광평로51길 46,37.4909352,127.1014041
28,S010000766,서울신구초등학교,69,서울특별시 강남구 압구정로18길 28,37.5233612951,127.023991523
29,S010000767,서울신동초등학교,185,서울특별시 서초구 나루터로 15,37.5171282419,127.0113884649
30,S010000768,서울신중초등학교,138,서울특별시 서초구 남부순환로317길 15,37.48001,127.009623
31,S010000769,서울압구정초등학교,144,서울특별시 강남구 압구정로39길 29,37.5316708,127.031165
32,S010000770,서울양재초등학교,105,서울특별시 서초구 바우뫼로18길 14,37.4741644827,127.0318938581
33,S010000771,서울양전초등학교,87,서울특별시 강남구 개포로 513,37.4902924,127.0693775
34,S010000772,서울언남초등학교,237,서울특별시 서초구 헌릉로8길 42,37.454144,127.0617
35,S010000773,서울언북초등학교,282,서울특별시 강남구 삼성로135길 42,37.519926,127.0451
36,S010000774,서울언주초등학교,229,서울특별시 강남구 남부순환로363길 19,37.4866567,127.0371605
37,S010000775,서울역삼초등학교,65,서울특별시 강남구 강남대로66길 21,37.4931611542,127.0326030259
38,S010000776,서울영희초등학교,42,서울특별시 강남구 일원로 21,37.4923016605,127.0811312059
39,S010000777,서울왕북초등학교,123,서울특별시 강남구 광평로31길 74,37.4864367029,127.0860405977
40,S010000778,서울우암초등학교,40,서울특별시 서초구 바우뫼로7길 38,37.4722959087,127.0237219645
41,S010000779,서울원명초등학교,204,서울특별시 서초구 고무래로 90-6,37.5007761754,127.0167057717
42,S010000780,서울원촌초등학교,175,서울특별시 서초구 사평대로45길 26,37.5061857,127.0124612
43,S010000781,서울이수초등학교,86,서울특별시 서초구 방배천로4길 23,37.4783700689,126.9844162207
44,S010000782,서울일원초등학교,77,서울특별시 강남구 영동대로4길 20,37.489789251,127.0763250966
45,S010000783,서울잠원초등학교,201,서울특별시 서초구 신반포로16길 15-25,37.50188,126.99767
46,S010000784,서울청담초등학교,87,서울특별시 강남구 압구정로71길 9,37.5279725,127.0452701
47,S010000785,서울포이초등학교,85,서울특별시 강남구 개포로22길 87,37.475962,127.052079
48,S010000786,서울학동초등학교,90,서울특별시 강남구 선릉로115길 42,37.5120656487,127.0398094287
49,S010000897,서울가동초등학교,135,서울특별시 송파구 중대로20길 47,37.4974117311,127.1300168827
50,S010000898,서울가락초등학교,201,서울특별시 송파구 송파대로37길 45,37.5000219623,127.1076025279
51,S010000899,서울가원초등학교,116,서울특별시 송파구 중대로4길 8,37.4894409751,127.1110293103
52,S010000900,서울가주초등학교,138,서울특별시 송파구 오금로40길 37,37.4965655863,127.1292871524
53,S010000901,서울강덕초등학교,207,서울특별시 강동구 동남로82길 94-54,37.5595469338,127.1604840335
54,S010000902,서울강동초등학교,73,서울특별시 강동구 상암로14길 77,37.5463647928,127.130187858
55,S010000903,서울강일초등학교,95,서울특별시 강동구 아리수로98길 24,37.56535,127.17733
56,S010000904,서울거여초등학교,94,서울특별시 송파구 마천로25길 18,37.5051658292,127.1409736264
57,S010000905,서울거원초등학교,148,서울특별시 송파구 양산로2길 26,37.487601,127.144669
58,S010000906,서울고덕초등학교,82,서울특별시 강동구 아리수로82길 42,37.560723,127.166557
59,S010000907,서울고명초등학교,143,서울특별시 강동구 고덕로46길 53,37.5529722545,127.1474373336
60,S010000908,서울고일초등학교,343,서울특별시 강동구 구천면로93길 20,37.5515408195,127.169411611
61,S010000909,서울길동초등학교,142,서울특별시 강동구 양재대로116길 69,37.5385917666,127.1449740741
62,S010000910,서울남천초등학교,58,서울특별시 송파구 성내천로 207,37.501176,127.150731
63,S010000911,서울대명초등학교,119,서울특별시 강동구 상암로 271,37.547292,127.153243
64,S010000913,서울마천초등학교,108,서울특별시 송파구 마천로61다길 24,37.4955069831,127.1526301317
65,S010000914,서울명덕초등학교,349,서울특별시 강동구 양재대로156길 11,37.5567629637,127.1450817026
66,S010000915,서울명원초등학교,107,서울특별시 강동구 명일로 364,37.5512889333,127.1504985792
67,S010000916,서울명일초등학교,175,서울특별시 강동구 고덕로38길 8,37.5545423636,127.1425695083
68,S010000917,서울묘곡초등학교,257,서울특별시 강동구 동남로79길 46,37.558201,127.153231
69,S010000918,서울문덕초등학교,103,서울특별시 송파구 송이로34길 60,37.485326,127.127395
70,S010000919,서울문정초등학교,100,서울특별시 송파구 문정로5길 20,37.4890731161,127.1290119087
71,S010000920,서울방산초등학교,95,서울특별시 송파구 오금로27길 42,37.509493,127.121066
72,S010000921,서울방이초등학교,99,서울특별시 송파구 위례성대로10길 4,37.513554,127.12094
73,S010000922,서울삼전초등학교,135,서울특별시 송파구 백제고분로28길 19,37.501622,127.092467
74,S010000923,서울상일초등학교,27,서울특별시 강동구 천호대로 1477,37.5475717228,127.172661674
75,S010000924,서울석촌초등학교,125,서울특별시 송파구 가락로11길 26,37.5027584,127.1048724
76,S010000925,서울선린초등학교,89,서울특별시 강동구 진황도로61길 29,37.52921,127.145793
77,S010000926,서울선사초등학교,98,서울특별시 강동구 올림픽로 837,37.555849064,127.1282034414
78,S010000927,서울성내초등학교,145,서울특별시 강동구 성내로3길 19,37.5313587603,127.1225001414
79,S010000928,서울성일초등학교,202,서울특별시 강동구 성내로15길 33,37.5291763,127.1283603
80,S010000929,서울세륜초등학교,93,서울특별시 송파구 양재대로 1264,37.518634,127.133564
81,S010000930,서울송전초등학교,147,서울특별시 송파구 석촌호수로 159,37.5088156601,127.0951331162
82,S010000931,서울송파초등학교,99,서울특별시 송파구 백제고분로 400,37.5071366477,127.1111188494
83,S010000932,서울신가초등학교,115,서울특별시 송파구 송이로 75,37.5003633354,127.1198800802
84,S010000933,서울신명초등학교,58,서울특별시 강동구 명일로24길 33,37.5409425176,127.1499889666
85,S010000934,서울신암초등학교,131,서울특별시 강동구 올림픽로93길 33-16,37.5500218719,127.1244046929
86,S010000935,서울신천초등학교,72,서울특별시 송파구 올림픽로 215,37.5139983139,127.0950356325
87,S010000936,서울아주초등학교,73,서울특별시 송파구 올림픽로4길 59,37.5058275216,127.0757668819
88,S010000937,서울영풍초등학교,59,서울특별시 송파구 오금로57길 15,37.496221799,127.1430149379
89,S010000938,서울오금초등학교,110,서울특별시 송파구 위례성대로22길 11,37.5093861683,127.1315713354
90,S010000939,서울오륜초등학교,64,서울특별시 송파구 양재대로 1196,37.5124246492,127.1345084357
91,S010000941,서울잠동초등학교,118,서울특별시 송파구 올림픽로35길 122,37.518515,127.100041
92,S010000942,서울잠신초등학교,230,서울특별시 송파구 잠실로 32,37.5141479659,127.0879460292
93,S010000943,서울잠실초등학교,188,서울특별시 송파구 올림픽로35길 20,37.5201684001,127.1115046807
94,S010000944,서울잠일초등학교,254,서울특별시 송파구 올림픽로 95,37.5147399506,127.081635084
95,S010000945,서울잠전초등학교,70,서울특별시 송파구 올림픽로12길 51,37.5073393539,127.0838483213
96,S010000946,서울중대초등학교,174,서울특별시 송파구 송파대로36길 8,37.4998109131,127.1136050041
97,S010000947,서울천동초등학교,139,서울특별시 강동구 성안로 200,37.541015002,127.1378275942
98,S010000948,서울천일초등학교,47,서울특별시 강동구 구천면로 266,37.5443609471,127.1334387548
99,S010000949,서울천호초등학교,113,서울특별시 강동구 구천면로 310-11,37.5477198694,127.1365906345
100,S010000950,서울토성초등학교,103,서울특별시 송파구 풍성로20길 44,37.5318810579,127.1156312759
101,S010000951,서울평화초등학교,31,서울특별시 송파구 송파대로26길 22,37.491587,127.122669
102,S010000952,서울풍납초등학교,73,서울특별시 송파구 풍성로 43,37.5350864091,127.1178673953
103,S010000953,서울풍성초등학교,65,서울특별시 송파구 강동대로2길 13,37.5262933266,127.1134867705
104,S010000954,서울한산초등학교,105,서울특별시 강동구 풍성로 261,37.5280147,127.1414269
105,S010001004,서울가곡초등학교,131,서울특별시 강서구 공항대로36길 74,37.5557076032,126.8361018296
106,S010001005,서울가양초등학교,35,서울 강서구 허준로 186,37.5622165608,126.8585205401
107,S010001006,서울갈산초등학교,128,서울특별시 양천구 목동로 31,37.5119893354,126.8697989184
108,S010001007,서울강서초등학교,194,서울특별시 양천구 오목로 31,37.5224133541,126.8409892172
109,S010001008,서울강신초등학교,121,서울특별시 양천구 월정로 280,37.543019,126.8292741
110,S010001009,서울강월초등학교,102,서울특별시 양천구 신월로 97,37.5163409961,126.833432503
111,S010001010,서울개화초등학교,10,서울특별시 강서구 양천로 11,37.573669,126.804339
112,S010001011,서울경인초등학교,136,서울특별시 양천구 안양천로 1009,37.5328698484,126.8856977141
113,S010001012,서울계남초등학교,103,서울특별시 양천구 목동동로2길 54,37.5101693827,126.860016811
114,S010001013,서울공진초등학교,343,서울특별시 강서구 마곡서로 33,37.5578288729,126.8226110323
115,S010001014,서울공항초등학교,282,서울특별시 강서구 마곡서1로 68,37.563089237,126.8216478084
116,S010001015,서울남명초등학교,74,서울특별시 양천구 중앙로23길 3,37.5156835515,126.8540839052
117,S010001016,서울내발산초등학교,202,서울특별시 강서구 강서로46길 23,37.5515619,126.8379003
118,S010001017,서울등명초등학교,16,서울특별시 강서구 강서로56나길 34,37.56088,126.842329
119,S010001018,서울등서초등학교,39,서울특별시 강서구 화곡로58길 86,37.5518833087,126.8550363979
120,S010001019,서울등양초등학교,28,서울특별시 강서구 강서로56나길 140,37.5648029,126.8446617
121,S010001020,서울등원초등학교,32,서울특별시 강서구 화곡로65길 90,37.560326,126.850073
122,S010001021,서울등촌초등학교,94,서울특별시 강서구 등촌로39길 71,37.5476125061,126.8579416012
