"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","95","23.8","4","95","23.8","4","95","23.8","5","104","20.8","5","107","21.4","5","110","22","1","4","4","0","0","0","28","610","21.8","32","19.1"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","84","16.8","5","97","19.4","5","101","20.2","5","105","21","5","103","20.6","5","98","19.6","1","7","7","0","0","0","31","595","19.2","37","16.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","5","185","37","5","178","35.6","5","164","32.8","6","181","30.2","6","183","30.5","6","176","29.3","0","0","0","0","0","0","33","1067","32.3","43","24.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","7","131","18.7","7","87","12.4","7","118","16.9","7","121","17.3","6","110","18.3","6","79","13.2","2","3","1.5","0","0","0","42","649","15.5","46","14.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","5","122","24.4","5","102","20.4","5","115","23","5","115","23","6","133","22.2","6","139","23.2","2","11","5.5","0","0","0","34","737","21.7","42","17.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","2","43","21.5","2","29","14.5","2","43","21.5","2","33","16.5","3","46","15.3","2","42","21","2","12","6","0","0","0","15","248","16.5","20","12.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","4","111","27.8","6","170","28.3","6","162","27","9","210","23.3","11","256","23.3","11","264","24","1","2","2","0","0","0","48","1175","24.5","57","20.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","7","253","36.1","8","246","30.8","9","294","32.7","11","332","30.2","14","450","32.1","13","410","31.5","0","0","0","0","0","0","62","1985","32","81","24.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","4","109","27.3","5","124","24.8","5","137","27.4","5","148","29.6","5","148","29.6","7","181","25.9","1","2","2","0","0","0","32","849","26.5","44","19.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","4","71","17.8","4","85","21.3","4","76","19","4","91","22.8","4","95","23.8","6","138","23","2","6","3","0","0","0","28","562","20.1","41","13.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","33","16.5","2","48","24","2","42","21","3","47","15.7","3","46","15.3","3","46","15.3","2","3","1.5","0","0","0","17","265","15.6","21","12.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","2","16","8","2","16","8","2","19","9.5","2","13","6.5","1","15","15","2","19","9.5","2","7","3.5","0","0","0","13","105","8.1","16","6.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","6","159","26.5","5","150","30","6","196","32.7","9","275","30.6","10","317","31.7","12","364","30.3","0","0","0","0","0","0","48","1461","30.4","65","22.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","4","91","22.8","4","107","26.8","4","122","30.5","5","129","25.8","6","172","28.7","9","215","23.9","2","6","3","0","0","0","34","842","24.8","46","18.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","5","104","20.8","5","113","22.6","5","131","26.2","6","151","25.2","7","171","24.4","8","200","25","2","9","4.5","0","0","0","38","879","23.1","47","18.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","7","221","31.6","7","223","31.9","9","280","31.1","10","310","31","11","376","34.2","13","392","30.2","1","3","3","0","0","0","58","1805","31.1","77","23.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","8","183","22.9","8","217","27.1","7","218","31.1","8","235","29.4","9","247","27.4","10","265","26.5","0","0","0","0","0","0","50","1365","27.3","61","22.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","5","111","22.2","5","111","22.2","5","126","25.2","5","125","25","7","169","24.1","6","144","24","2","9","4.5","0","0","0","35","795","22.7","41","19.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","6","163","27.2","7","180","25.7","6","159","26.5","6","149","24.8","6","156","26","6","154","25.7","1","6","6","0","0","0","38","967","25.4","47","20.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","2","27","13.5","2","37","18.5","2","19","9.5","2","30","15","2","47","23.5","3","48","16","0","0","0","0","0","0","13","208","16","17","12.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","4","76","19","3","78","26","4","71","17.8","4","78","19.5","4","74","18.5","4","81","20.3","0","0","0","0","0","0","23","458","19.9","28","16.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","4","93","23.3","3","71","23.7","4","86","21.5","4","78","19.5","4","103","25.8","4","104","26","1","1","1","0","0","0","24","536","22.3","27","19.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","6","155","25.8","7","194","27.7","7","220","31.4","7","219","31.3","9","265","29.4","9","270","30","2","14","7","0","0","0","47","1337","28.4","60","22.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","8","233","29.1","9","259","28.8","8","254","31.8","9","260","28.9","9","264","29.3","8","231","28.9","2","12","6","0","0","0","53","1513","28.5","65","23.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","9","239","26.6","8","266","33.3","8","238","29.8","7","205","29.3","8","252","31.5","7","225","32.1","0","0","0","0","0","0","47","1425","30.3","56","25.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","3","72","24","4","79","19.8","4","88","22","4","78","19.5","4","93","23.3","4","83","20.8","1","5","5","0","0","0","24","498","20.8","27","18.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","5","144","28.8","6","164","27.3","6","172","28.7","6","173","28.8","6","172","28.7","7","197","28.1","1","5","5","0","0","0","37","1027","27.8","46","22.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","2","25","12.5","2","28","14","2","15","7.5","2","23","11.5","2","16","8","2","28","14","2","7","3.5","0","0","0","14","142","10.1","17","8.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","3","60","20","4","91","22.8","3","70","23.3","4","75","18.8","4","88","22","3","72","24","2","10","5","0","0","0","23","466","20.3","27","17.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","7","151","21.6","7","169","24.1","7","181","25.9","8","186","23.3","9","235","26.1","11","242","22","0","0","0","0","0","0","49","1164","23.8","61","19.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","5","130","26","6","124","20.7","6","135","22.5","6","138","23","7","166","23.7","6","135","22.5","1","5","5","0","0","0","37","833","22.5","44","18.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","6","128","21.3","6","145","24.2","6","135","22.5","5","124","24.8","7","174","24.9","7","156","22.3","0","0","0","0","0","0","37","862","23.3","41","21"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","4","74","18.5","3","56","18.7","4","97","24.3","5","101","20.2","5","106","21.2","4","90","22.5","2","9","4.5","0","0","0","27","533","19.7","33","16.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","2","42","21","3","50","16.7","3","63","21","4","63","15.8","4","80","20","5","97","19.4","1","7","7","0","0","0","22","402","18.3","28","14.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","7","139","19.9","6","155","25.8","9","218","24.2","8","204","25.5","8","179","22.4","7","155","22.1","3","13","4.3","0","0","0","48","1063","22.1","57","18.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","8","216","27","9","247","27.4","9","280","31.1","10","279","27.9","12","332","27.7","11","295","26.8","2","10","5","0","0","0","61","1659","27.2","77","21.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","7","196","28","8","212","26.5","8","236","29.5","9","273","30.3","9","261","29","10","291","29.1","2","12","6","0","0","0","53","1481","27.9","64","23.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","2","33","16.5","3","57","19","3","57","19","3","52","17.3","3","57","19","3","61","20.3","2","9","4.5","0","0","0","19","326","17.2","23","14.2"
